episode,first_aired,entrepreneur(s),company_or_product_name,money_requested_converted_$,stake_in_%_sold,description_of_product,investing_dragon(s),fate,season,valuation
 1,31 July 2011,Georgette Hewitt,The Present Club,79142,,A website for buying gifts for children,Peter Jones and Theo Paphitis,active,9,
 1,31 July 2011,Chris Hopkins,Ploughcroft Solar,158284,,A company that installs solar panels in homes,Deborah Meaden and Theo Paphitis,active,9,
 2,7 August 2011,"Christian Hartmann, Martin McLaughlin, Tom Callard",Love Da Pop,92332,,A business turning the old popcorn treat into a modern mainstream snack,Peter Jones,active,9,
 2,7 August 2011,Liz and Alan Colleran,Raskelf Memory Foam (Duvalay),105523,,A zip-up memory foam mattress and duvet combo,Hilary Devey,active,9,
 3,14 August 2011,Peter and Michelle Hart,Fun Fancy Dress,131903,,Fancy-dress shop business and franchise,Duncan Bannatyne,	deal fell through after filming,9,
 4,21 August 2011,Bob Davis,Unique Ideas UK,65952,,Corporate events and entertainment including the Cyclone GameCube,Hilary Devey,active,9,
 4,21 August 2011,Robert Lewis,Rollersigns,131903,,Advertising on belt banners,Peter Jones,active,9,
 5,28 August 2011,Kate Castle,BoginaBag,65952,,"Lightweight, portable toilet",Theo Paphitis,active,9,
 5,28 August 2011,Henry Buckley and JJ Harding,JogPost Limited,65952,,Direct marketing company specialising in leaflet distribution,Deborah Meaden,active,9,
 6,4 September 2011,Andy Bates,AB Performance,65952,,"Bike-engined car manufacturing, servicing, repairs and tuning company",Peter Jones,active,9,
 7,12 September 2011,"Nick Cross, Richard Hadden and Sebastian Stoddart",barMate,65952,,Hands-free pint-pulling product,Deborah Meaden and Theo Paphitis,active,9,
 7,12 September 2011,Simon Booth,Kiddimoto,98927,,Children's balance bikes,Hilary Devey and Duncan Bannatyne,active,9,
 8,19 September 2011,Ryan Ashmore and Liam Webb,RKA Records,65952,,Record label,Duncan Bannatyne,active,9,
 8,19 September 2011,Aidan Quinn and Gemma Roe,EcoHab Homes and O-Pod Buildings,98927,,Energy-efficient dome-shaped buildings and garden structures,Theo Paphitis,active,9,
 9,26 September 2011,Andrea McDowall and Rebecca Baldwin,Shoot It Yourself,79142,,Professional video hiring and editing business,Hilary Devey,active,9,
 10,3 October 2011,Helen Waterston,Innovative Gadgets Ltd. (Roastcosy),92332,,Stainless steel chain mail covering for roasting meats,Peter Jones and Deborah Meaden,active,9,
 1,9 September 2012,Bee London,Weave Got Style,112118,40.0,Hair extensions,Hilary Devey,active,10,280295
 1,9 September 2012,"Lewis Blitz, James Gold and Richard Gold",Skinny Dip,158284,30.0,Fashion technology accessories,Peter Jones,active,10,527613
 2,16 September 2012,Geoff and Colette Bell,Shampooheads,98927,20.0,Children's haircare brand,Theo Paphitis and Hilary Devey,active,10,494635
 3,23 September 2012,Helen and Lisa Tse,Sweet Mandarin,65952,40.0,Oriental dipping sauces,Hilary Devey and Duncan Bannatyne,active,10,164880
 3,23 September 2012,Kellie Forbes and Gill Hayward,YUUbag,79142,30.0,Children's backpack and accessories range,Peter Jones and Deborah Meaden,active,10,263807
 4,30 September 2012,Harrison Woods,Primal Parking,79142,40.0,Car parking space lettings agency,Peter Jones and Theo Paphitis,active,10,197855
 5,7 October 2012,Kiryl Chykeyuk and Art Stavenka,Old Bond (later renamed as Kino-mo),118713,40.0,"Spinning, animated advertisement on bicycle wheels",Deborah Meaden and Theo Paphitis,active,10,296782
 5,7 October 2012,Dupsy Abiola,Intern Avenue,131903,40.0,Online internship directory,Peter Jones,active,10,329758
 6,14 October 2012,Marie Sawle,Billy + Margot,79142,40.0,Ice cream for dogs,Deborah Meaden,active,10,197855
 6,14 October 2012,Henry and Philip Blake,WoodBlocX,98927,25.0,Outdoor wooden DIY landscaping product,Peter Jones,active,10,395708
 7,21 October 2012,Umer Ashraf,iCafe,105523,49.0,Coffee shop business and franchise,Duncan Bannatyne,active,10,215353
 7,21 October 2012,Ben Hardyment,Zapper,329758,30.0,"Website which buys iPhones, iPads, electronics, books, CDs, DVDs and games for cash",Theo Paphitis,active,10,1099193
 8,28 October 2012,Paul Turner,A Turner & Sons Sausage Ltd,105523,,Sausage manufacturing company,Peter Jones,active,10,
 9,11 November 2012,Ashley Sayed,Karuma Innovations,197855,25.0,Child-friendly tablet retail company,Peter Jones,active,10,791420
 9,11 November 2012,Anne and Keith Proctor,Pro-Tec Covers,98927,26.0,Caravan and motor home fabric covers,Hilary Devey and Duncan Bannatyne,active,10,380488
 10,18 November 2012,Mark Richardson,Bionic Glove Technology Europe Ltd.,131903,40.0,"Ergonomic, durable, patented gloves for golfing, gardening and gym use",Deborah Meaden and Theo Paphitis,active,10,329758
 11,25 November 2012,Mark Ferguson and Emma Jones,myBunjee,92332,35.0,Mobile phone case attachment to prevent phone from falling on the floor,Peter Jones,active,10,263806
 11,25 November 2012,Luke Booth and Christopher Eves,P4CK,65952,30.0,"Product design business, including two products related to carrying of takeaway food and drink, and beer cups",Theo Paphitis,active,10,219840
 12,2 December 2012,Naomi Kibble and Helen McAvoy,Rocktails,105523,40.0,Frozen cocktails,Peter Jones and Duncan Bannatyne,active,10,263808
 12,2 December 2012,John Spence,Megaflatables,49464,25.0,Large inflatables used for advertising brands and products,Peter Jones,active,10,197856
Christmas Special,27 December 2012,Allison Whitmarsh,ProperMaid,65952,25.0,Homemade cakes with a twist,Deborah Meaden,active,10,263808
 1,11 August 2013,Kate Cotton and Louise Ferguson,Skinny Tan,79142,10.0,Naturally derived tanning lotion and cellulite-reducing cream,Piers Linney and Kelly Hoppen,active,11,791420
 1,11 August 2013,Ross Mendham,Bare Naked Foods,79142,50.0,"Low-carb, low calorie, gluten-free noodles and pasta",Peter Jones,active,11,158284
 2,18 August 2013,Donna Kerr-Foley,The Running Mat,65952,40.0,Portable wearable exercise mat and boot-camp business,Deborah Meaden and Kelly Hoppen,active,11,164880
 2,18 August 2013,Joe Walters,Original Jerky,49464,24.0,Flavoured beef jerky snack,Peter Jones,active,11,206100
 3,25 August 2013,Richard Ernest,RemPods,131903,45.0,Small pop-up rooms set up from past decades used to calm people who have dementia,Deborah Meaden and Peter Jones,active,11,293118
 4,1 September 2013,Cheryl and Michael MacDonald,YogaBellies,65952,35.0,Franchise business for yoga classes for pregnant women and mothers and their babies,Duncan Bannatyne,active,11,188434
 6,15 September 2013,Chris Rea and Tom Carson,Young Ones,98927,40.0,Clothing and accessories company aimed at university and college students,Duncan Bannatyne,active,11,247318
