season_epi_code,pitched_business_identifier,pitched_business_desc,deal_status,deal_shark,deal,description,episode,category,entrepreneurs,location,website,asked_for,exchange_for_stake,valuation,season,shark1,shark2,shark3,shark4,shark5,title,episode_season,multiple_entrepreneurs
629,Bee Thinking,"beehives in various modern designs . Matt Reed started Bee Thinking and builds hives in Portland, Oregon from Western Red Cedar. Matt pitches the Sharks to go big with Bee Thinking so everyone can have a backyard bee hive.",0,,False,"Bee Thinking crafts beautiful bee hives in Portland, Oregon, for beekeepers throughout the world.",24.0,Professional Services,Matt Reed,"Portland, OR",http://www.beethinking.com,400000.0,10.0,4000000.0,6.0,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Bee Thinking,6-24,False
629,Budsies,a company that creates custom plush toys based on children's drawings ,0,,False,Budsies magically transforms any artwork into a fully custom stuffed animal.,24.0,Toys and Games,Alex Furmansky,"Lake Worth, FL",http://www.budsies.com,100000.0,5.0,2000000.0,6.0,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Budsies,6-24,False
629,Forus Athletics,workout and athletic shoes ,0,,False,Lightweight yet supportive and extremely comfortable athletic shoes.,24.0,Men and Women's Shoes,Joel Vinocur and Arsene Millogo,"Indianapolis, IN",http://www.wearforus.com,200000.0,15.0,1333333.0,6.0,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Forus Athletics,6-24,True
629,PullyPalz,"a pulley system to keep two pacifiers available to infants in case they lose one . Who hasnâ€™t had to pick up and suck the dirt off (yuck!) the pacifier that junior just spit out, but really wants back in a hurry? Well, now PullyPalz creates peace wherever you go. Junior can spit all he wants and grab that pacifier himself without it touching the ground.",1,LG,True,A baby toy that helps them retrieve dropped pacifiers without help.,24.0,Baby and Child Care,Julie Thompson,"Atlanta, GA",http://pullypalz.com,100000.0,20.0,500000.0,6.0,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,PullyPalz,6-24,False
628,BeeSweet Lemonade,honey-sweetened lemonade with flaxseed ,1,DJ,True,BeeSweet Lemonade uses locally sourced honey. A percentage of the profits form the sale of her lemonade goes to  local and international organizations fighting to save the bees.,23.0,Non-Alcoholic Beverages,Mikaila and Theo Ulmer,"Austin, TX",http://beesweetlemonade.com,60000.0,10.0,600000.0,6.0,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,BeeSweet Lemonade,6-23,True
628,BrandYourself,software to improve search results for individuals and businesses ,0,,False,"BrandYourself offers tools and services ensure that when people look you up, they find positive, accurate results, not negative, irrelevant or results about somebody else.",23.0,Online Services,Patrick Ambron,"New York, NY",https://brandyourself.com,2000000.0,14.0,14814815.0,6.0,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,BrandYourself,6-23,False
628,iCPooch,"a device that allows two-way video chat between pets and their owners and can dispense treats . Itâ€™s hard to travel when you have a lovable puppy at home, especially when he/she cannot come along for the journey. Now there is a way to communicate and interact with your puppy while being states away. Introducing iCPooch, an innovative way to not only chat with your puppy, but also dispense treats for him/her.",0,,False,iCPooch is an internet-enabled device that allows for two-way video chat between pet owners and their pet. Pet owners can even remotely give them a treat from anywhere in the world.,23.0,Pet Products,Brooke Martin and James Pelland,"Spokane, WA",http://www.icpooch.com,150000.0,20.0,750000.0,6.0,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,iCPooch,6-23,True
628,The Home T,"a line of clothing and accessories focusing on the customer's home state or land . Have you ever been walking the streets of a large metropolitan area and have people asking you where youâ€™re from (because obviously you arenâ€™t fitting in)? The Home T offers a simple solution to this situation. You can now purchase a t-shirt that has your home state on it, with a simple, yet elegant â€œhome.â€ on the front. Available in crew neck, v-neck, baseball tâ€™s, tank tops, hoodies and more! The company also sends a portion of proceeds to multiple sclerosis research and all products are made right here in the USA!",0,,False,"The Home T is a stylish way to show your state pride, while helping raise money for multiple sclerosis research.",23.0,Men and Women's Apparel,Ryan Shell,"New York, NY",http://www.thehomet.com,250000.0,5.0,5000000.0,6.0,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,The Home T,6-23,False
627,Beneath the Ink,"a service that integrates annotated supplementary information into e-books . Beneath the Ink pitches the Shark Tank and introduces â€˜Binksâ€™ which allow publishers and authors to include extra information within their digital ebooks to give readers access to more information, related titles and even, perhaps â€“ other revenue generating options. Beneath the Ink pitches Shark Tank for a deal. ",0,,False,A technology platform allowing content creators to insert additional information directly into any word or phrase in any digital document.,25.0,Online Services,Alex Milewski and Sherisse Hawkins,"Boulder, CO",https://www.beneaththeink.com,350000.0,10.0,3500000.0,6.0,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Beneath the Ink,6-25,True
627,Melni Connectors,a simpler connector for industrial electrical cables ,1,MC,True,"Faster, safer, ergonomically correct and cost-effective connectors for electric power.",25.0,Electronics,"Byron Dunn, Mark Melni, and Armand Eckert","Twin Falls, ID",http://www.melniconnectors.com,500000.0,5.0,10000000.0,6.0,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Melni Connectors,6-25,True
627,NeatCheeks,"wipes flavored with stevia for cleaning children's faces . NeatCheeks is a â€˜sweet flavored face wipeâ€™ that is clean, tasty, and a safe way to clean baby faces without slathering them in chemical cleaners and the nasty smells of sanitizer. No more fuss wiping your lil faces around the table.",1,BC,True,Flavored face wipes sweetened with stevia. Makes cleaning kids' faces easier because they won't avoid it thanks to its sweet flavor.,25.0,Baby and Child Care,Danielle Stangler and Julia Rossi,"Denver, CO",https://neatcheeks.com,150000.0,20.0,750000.0,6.0,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,NeatCheeks,6-25,True
627,PittMoss,an alternative to peat moss manufactured from recycled newspaper . Harvesting peat moss is an environmental task and disturbs wetlands. Pitt Moss is a recycled paper substitute that has been thoroughly tested in labs and real use to replace peat moss and save the wetlands.,1,KOL+MC+RH,True,"An environmentally-friendly alternative to peat moss made from recycled paper and a proprietary mix of organic additives. Using PittMoss instead of peat eliminates the need for chemical additives and controls for pH imbalances, insects, molds and weed seeds, and releases far less CO2 into the atmosphere.",25.0,Gardening,Mont Handley,"Pittsburgh, PA",http://pittmoss.com,600000.0,25.0,2400000.0,6.0,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,PittMoss,6-25,False
