company_or_product_name,description_of_product,deal_status,investing_dragon(s),episode,category,entrepreneurs(s),location,website,money_requested,stake_in_%_sold,valuation,season
PullyPalz,"a pulley system to keep two pacifiers available to infants in case they lose one . Who hasnâ€™t had to pick up and suck the dirt off (yuck!) the pacifier that junior just spit out, but really wants back in a hurry? Well, now PullyPalz creates peace wherever you go. Junior can spit all he wants and grab that pacifier himself without it touching the ground.",True,Lori Greiner,24,Baby and Child Care,Julie Thompson,GA,http://pullypalz.com,100000,20,500000,6
BeeSweet Lemonade,honey-sweetened lemonade with flaxseed ,True,Daymond John,23,Non-Alcoholic Beverages,Mikaila and Theo Ulmer,TX,http://beesweetlemonade.com,60000,10,600000,6
Melni Connectors,a simpler connector for industrial electrical cables ,True,Marc Cuban,25,Electronics,"Byron Dunn, Mark Melni, and Armand Eckert",ID,http://www.melniconnectors.com,500000,5,10000000,6
NeatCheeks,"wipes flavored with stevia for cleaning children's faces . NeatCheeks is a â€˜sweet flavored face wipeâ€™ that is clean, tasty, and a safe way to clean baby faces without slathering them in chemical cleaners and the nasty smells of sanitizer. No more fuss wiping your lil faces around the table.",True,Barbara Corcoran,25,Baby and Child Care,Danielle Stangler and Julia Rossi,CO,https://neatcheeks.com,150000,20,750000,6
PittMoss,an alternative to peat moss manufactured from recycled newspaper . Harvesting peat moss is an environmental task and disturbs wetlands. Pitt Moss is a recycled paper substitute that has been thoroughly tested in labs and real use to replace peat moss and save the wetlands.,True,Kevin O'Leary+Marc Cuban+Robert Herjavec,25,Gardening,Mont Handley,PA,http://pittmoss.com,600000,25,2400000,6
World Record Striper Company,"a rattle sinker that uses sound to attract fish, designed by the world record holder for the largest striped bass . Love to fish for Striped Bass? These amazing lures helped bag the World Record Striped Bass! These lures use sound to mimic crustaceans like baby lobsters, crabs, shrimp or crayfish to give you an extreme advantage to help you reel in the biggest fish youâ€™ve ever caught.",True,Marc Cuban,27,Outdoor Recreation,Greg Myerson,CT,http://www.worldrecordstripercompany.com,75000,20,375000,6
Zero Pollution Motors,"a compressed air car manufactured by Motor Development International . Want to cut down on car exhaust? Use the AirPod from Zero Pollution Motors. At under $10,000 it runs on compressed air and has a top speed of about 50 mph. Forget the golf cart, the AirPod is the new coolest way to travel. Could it have heat and AC too? At speeds of 20mph to 30mph, it can travel 100 miles per compressed air tank.",True,Robert Herjavec,27,Automotive,Ethan Tucker and Pat Boone,NY,http://zeropollutionmotors.us,5000000,50,10000000,6
SynDaver Labs,"synthetic human tissues and body parts for medical training and development . Thinking of becoming creepy? Well, now you can do it safely with artificial cadavers that are gross, creepy and realistic. And hey, you can even study medicine with them. So when youâ€™re friends find out youâ€™re a bit â€˜off kilterâ€™, you can just tell them your pre-med and donâ€™t want the stench of a dead body around â€“ totally norma.",True,Robert Herjavec,28,Education,Dr. Christopher Sakezles,FL,http://syndaver.com,3000000,10,30000000,6
You Kick Ass,"personalized, customizable action figures ",True,Others,28,Novelties,Keri Andrews and Alesia Glidewell,WA,http://www.youkickass.com,100000,10,1000000,6
Zoom Interiors,an online interior design service . These 3 design ladies will help you transform your living space by learning about you. Itâ€™s almost like a match-making service where you get to figure out whatâ€™s best suited for you. But the girls donâ€™t come with the room.,True,Others,28,Online Services,"Beatrice Fischel-Bock, Madeine Fraser & Lizzie Grover",PA,https://zoominteriors.com,100000,20,500000,6
Noene USA,"ultra-thin shock absorbing shoe insoles . Bryon Scott, former NFL linebacker with four different teams, comes into the Shark Tank to pitch Noene, his high-tech insoles. Made in Switzerland, from a proprietary rubber, these insoles are designed to take the shock out of all your movement.",True,Others,26,Fitness Apparel and Accessories,Bryan Scott,GA,http://www.noeneusa.com,100000,10,1000000,6
ZinePak,"exclusive merchandise and collectables for superfans of various entertainment media . Are you a super fan? ZinePak creates a super fan package including magazines, CDs, and lovable odds&ends that connect you more to your favorite entertainer, musician, or super pop star. Sometimes itâ€™s a special limited edition or itâ€™s widely available at super stores.",True,Others,26,Music,Kim Kaupe and Brittany Hodak,NY,http://www.zinepak.com,725000,10,7250000,6
Shark Wheel,"a helical wheel for skateboards that is more maneuverable and has better grip . The pitch to the Shark Tank is for square skateboard wheels â€“ ok almost square â€“ square plus semi-circular plus a sinewave. Invented for another reason, these wheels allow boarders to avoid crashing from dibree or rough terrain.",True,Kevin O'Leary+Marc Cuban,29,Outdoor Recreation,David Patrick and Zack Fleishman,CA,http://www.sharkwheel.com,100000,5,2000000,6
Spikeball,"a variant of volleyball with a circular net in the middle of the field . Spikeball pitches Shark Tank a new game that is like four-square meets volleyball outdoor sport for pairs. Instead of a net, there is a small, round trampoline on the ground between the two teams and you spike the ball into it. With no out of bounds, youâ€™re sure to get exercise and have lots of fun.",True,Daymond John,29,Toys and Games,Chris Ruder,IL,http://spikeball.com,500000,10,5000000,6
Sway Motorsports,"an electric commuter vehicle with characteristics of a motorcycle and an all-terrain vehicle . Sway motorsports pitches the Shark Tank. Imagine a scooter with three wheels but instead of turning the wheels to turn, you lean, a bit like skiing meets the motorcycle. More fun, this electric, rechargeable scooter can go 40+ miles on a charge and is great for zooming safely around town.",True,Marc Cuban,29,Automotive,Joe Wilcox,CA,http://www.swaymotorsports.com,300000,10,3000000,6
Gold Rush Nugget Bucket,"a bucket and screen system to make panning for gold easier . Solving the tedious process of panning little grains of gold from debris, Gold Rush Nugget Bucket concentrates the tiny particles of gold in the pan beneath; making the gold panning process easy. Beautifully organizing particles of valuable rock, Gold Rush Nugget Bucket Gold Panning Kit is a gold mining dream.",True,Robert Herjavec,19,Novelties,Mark Peterson,OR,http://www.goldrushnuggetbucket.com,60000,15,400000,6
Echo Valley Meats,"the gourmet meat business founder returns to pitch his company again . Specializing in â€œold fashion butcher shopâ€ quality, Echo Valley Meats provides award winning meats out of Peoria, Illinois for the virtual gourmet online market. Its founder, Dave Alwan, is a third generation cattleman/farmer/businessman, whoâ€™s made it his mission to provide the best hams, smoked sausages, and other meats. He has traveled to Germany and Denmark to be trained by the best, and it shows! Although it primarily deals in high-quality meats, it also sells homemade cheese spreads, cinnamon roasted nuts, and cookie dough. You might have already gotten a taste of Echo Valley Meats as a product on Shark Tank, you can also go download their catalog to settle your cravings!",True,Marc Cuban,21,Specialty Food,Dave Alwan,IL,http://www.echovalleymeats.com,150000,20,750000,4
Echo Valley Meats,"the gourmet meat business founder returns to pitch his company again . Specializing in â€œold fashion butcher shopâ€ quality, Echo Valley Meats provides award winning meats out of Peoria, Illinois for the virtual gourmet online market. Its founder, Dave Alwan, is a third generation cattleman/farmer/businessman, whoâ€™s made it his mission to provide the best hams, smoked sausages, and other meats. He has traveled to Germany and Denmark to be trained by the best, and it shows! Although it primarily deals in high-quality meats, it also sells homemade cheese spreads, cinnamon roasted nuts, and cookie dough. You might have already gotten a taste of Echo Valley Meats as a product on Shark Tank, you can also go download their catalog to settle your cravings!",True,Marc Cuban,22,Specialty Food,Dave Alwan,IL,http://www.echovalleymeats.com,150000,20,750000,6
EmazingLights,"LED-powered light gloves for gloving in dance clubs . Opening doors to creative expression, what was once a simple LED toy for music festivals, these gloves have created a community of Light Show artists to transform the way we think of entertainment and art. A trending product growing exponentially in popularity, EmazingLights provides LEDs, gloves, accessories, and apparel for light enthusiasts everywhere. Perfect for clubbing, musical events, and light shows, EmazingLights products are the first in a wave of new party accessories. Located in sunny California, they also puts on local events such as Friday Night Lights, BOSS Competitions, and the International Gloving Championship!",True,Daymond John+Marc Cuban,22,Party Supplies,Brian Lim,CA,http://www.emazinglights.com,650000,5,13000000,6
GreenBox,"a pizza delivery box made out of recycled materials that can be broken down into plates and storage containers . Eco-friendly and 100% recyclable, the GreenBox Pizza Box is a game changer in the Pizza delivery industry. It is uniquely engineered to break up into four sturdy plates and still maintain itâ€™s box use for storing left overs. This eliminates the need to waste the likes of plastic wrap, aluminum foil disposable plates and more. Own a Pizza place? GreenBox offers customization to suit your branding! Get GreenBox, the pizza box of the 21st century.",True,Others,16,Storage and Cleaning Products,Ned Kensing and Jennifer Wright-Laracy,NY,http://greenboxny.com,300000,10,3000000,6
Lumio,"an elegant lighting device that folds like an accordion . Lumio is simply one of those â€œoooh and ahhhâ€ kind of products. Dynamic and multi-functional, Lumio is a hard-cover book when closed and a bright and vivid lamp when opened. Lumio Book Lamp is perfect for when youâ€™re outdoors or on the go and also in the comfort of your own home. It opens up to a full 360 degrees and provides up to 8 hours of LED lighting when charged with a micro-USB charger. Lumio is available in two different book forms including Dark Walnut and Blonde Maple. Each set comes with magnetic wooden pegs for mounting and a leather strap for easy hanging.",True,Robert Herjavec,15,Home Accessories,Max Gunawan,CA,http://www.hellolumio.com,250000,8,3125000,6
TurboPUP,"complete canine meal bars . Fuel your dog with TurboPup K9 Energy Bars. Healthy, human grade, all natural and grain-free, TurboPup is the go-to on the go treat for your pup. The Dog energy bar is a complete meal replacement and full of premium ingredients in one compact bar. TurboPup is a delightful, dog-approved pet food perfect for when you are out on a day hike, camping or an extended trip.",True,Others,15,Pet Products,Kristina Guerrero,OR,http://www.turbopup.com,100000,20,500000,6
Coco Jack,a set of tools for easier opening of Thai coconuts and extracting the meat from within . Coco Jack is a safe and easy way to open young Thai Coconuts.,True,Others,21,Kitchen Tools,Dave Goodman,TX,http://www.coco-jack.com,125000,10,1250000,6
Frill Clothing,"designers and producers of custom clothing for college sororities . Creating looks that empower young women, Frill Clothing designs unified and defined clothing for sorority girls.",True,Others,21,Women's Apparel,Kate Steadman and Sharon Bui,NC,http://frillclothing.com,100000,20,500000,6
Scholly,an app that helps match students to scholarships ,True,Others,20,Online Services,Christopher Gray,PA,https://www.myscholly.com,40000,15,266667,6
